StartDate;EndDate;Status;IPAddress;Progress;Seconds;Finished;RecordedDate;ResponseId;RecipientLastName;RecipientFirstName;RecipientEmail;ExternalReference;LocationLatitude;LocationLongitude;DistributionChannel;UserLanguage;Q_RecaptchaScore;consent;prolific_id;consume_dairy;country;birth_year;primary_shopper;milk_purch_freq;milk_cons_freq;milk_purch_loc;milk_purch_loc_othr;milk_fat;milk_fat_othr;milk_size;milk_size_othr;lactose_free;non_dairy;nd_soy;nd_almond;nd_oat;nd_coconut;nd_othr_nut;nd_othr;nd_othr_txt;nd_rsn_lactose;nd_rsn_allergy;nd_rsn_taste;nd_rsn_vegan;nd_rsn_shelflife;nd_rsn_inflammation;nd_rsn_antibiotic;nd_rsn_welfare;nd_rsn_othr;nd_rsn_othr_txt;C1;C2;C3;C4;rank_milk_type;rank_label_type;rank_addl_label;rank_date;rank_price;online_freq;read_label_freq;use_qr_code;foodwaste_familiar;up_milk;discard_afterdate;discard_ondate;discard_finish;discard_smell;discard_taste;date_quality;best_sell;foodwaste_sig;foodwaste_badfeel;foodwaste_wrong;foodwaste_consider;foodwaste_handle;share_social;promote_sust;age;gender;white;middle_east;black;native;asian;pacific;hispanic;race_othr;race_othr_txt;edu;hhinc;ms;children;hhsize;state;prolific_pid;group;vers_cbconjoint;revision_CBCONJOINT
8/2/2021 9:10;8/2/2021 9:16;IP Address;*******;100;360;TRUE;8/2/2021 9:16;R_Y6tX4LI0Deyi87f;*******;*******;*******;*******;*******;*******;anonymous;EN;0.40000000000000002220446049250313080847263336181640625;I consent, begin the study.;601d9537ec317f1636a9b1c5;Yes;United States;1974;Yes;Multiple times a week;Multiple times a week;Large/national big-box stores (Walmart, Target, K-Mart, etc.);;Whole milk;;Gallon;;About half the time;About half the time;;Almond milk;;Coconut milk;;;;;;;;;;;;;;2;2;4;2;2;3;1;4;5;A few times a month;About half the time;Probably yes;Moderately familiar;Neither agree nor disagree;Somewhat agree;Strongly agree;Strongly agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Strongly agree;Neither agree nor disagree;Somewhat agree;Somewhat agree;Strongly agree;Somewhat agree;Neither agree nor disagree;Neither agree nor disagree;46-55;Male;White;;;;;;;;;Master's degree;$150,000 or more;Married;Yes;4;California;601d9537ec317f1636a9b1c5;Control;17;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:10;8/2/2021 9:16;IP Address;*******;100;358;TRUE;8/2/2021 9:16;R_0f6YpM9kNXbPilr;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;57681886236f930001a69b9a;Yes;United States;1993;Yes;Approximately once a week;Less than once a week;Large supermarkets (Harps, Tops, Sprouts, etc.);;Skim;;Half-gallon;;Always;Always;Soymilk;Almond milk;;;;;;;;I don't like the taste of dairy milk;Vegan / Vegetarian diet or lifestyle;Longer product shelf life;;;;;;1;3;1;1;2;4;5;3;1;A few times a month;Most of the time;Definitely not;Not familiar at all;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Somewhat disagree;Strongly agree;Somewhat disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly disagree;Strongly disagree;26-35;Female;White;;;;;;;;;Bachelor's degree in college (4-year);$50,000 to $59,999;Never Married;No;4;New York;57681886236f930001a69b9a;Treatment;15;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:11;8/2/2021 9:18;IP Address;*******;100;414;TRUE;8/2/2021 9:18;R_bIa7BihN3zcPlJL;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;5c51813b2423780001087907;Yes;United States;1990;Yes;Approximately every 10 - 14 days;Once a day;Specialty stores (Whole Foods, Trader Joe's, ethnic grocery stores, etc.);;2% Reduced fat milk;;Half-gallon;;Never;About half the time;;Almond milk;;;;;;;;;;;;;;;;1;1;1;2;1;2;5;3;4;A few times a month;Most of the time;Definitely not;Slightly familiar;Somewhat agree;Somewhat disagree;Somewhat disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neither agree nor disagree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat disagree;Neither agree nor disagree;26-35;Female;White;;;;;;;;;High school graduate (high school diploma or equivalent including GED);$40,000 to $49,999;Never Married;No;1;Washington;5c51813b2423780001087907;Control;16;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:10;8/2/2021 9:18;IP Address;*******;100;468;TRUE;8/2/2021 9:18;R_3FIKkWzurenoqLw;*******;*******;*******;*******;*******;*******;anonymous;EN;1;I consent, begin the study.;5deab7c37d91c31e0c200902;Yes;United States;1970;No;Multiple times a week;Multiple times a week;Small/local grocery stores;;Whole milk;;Half-gallon;;Never;Sometimes;;;Oat milk;;;;;;;;;;;;;;;3;2;3;3;1;4;5;2;3;A few times a week;Most of the time;Definitely not;Slightly familiar;Strongly agree;Somewhat disagree;Somewhat disagree;Strongly disagree;Strongly agree;Somewhat disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly disagree;Somewhat disagree;46-55;Male;White;;;;;;;;;Professional degree (JD, MD);$100,000 to $149,999;Married;Yes;4;Maine;5deab7c37d91c31e0c200902;Treatment;18;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:09;8/2/2021 9:18;IP Address;*******;100;586;TRUE;8/2/2021 9:18;R_2uxQFJh3mX1MPch;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;601e85ea252f602e9591d487;Yes;United States;1989;Yes;Approximately once a week;Multiple times a day;Large supermarkets (Harps, Tops, Sprouts, etc.);;2% Reduced fat milk;;More than one gallon;;Sometimes;Never;;;;;;;;;;;;;Concerns about inflammation;;;;;3;2;1;3;1;4;2;5;3;About once a day;Sometimes;Definitely yes;Moderately familiar;Somewhat disagree;Strongly agree;Somewhat agree;Somewhat agree;;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;Somewhat agree;Strongly agree;Neither agree nor disagree;26-35;Male;;;Black or African American;;;;;;;Bachelor's degree in college (4-year);$100,000 to $149,999;Married;Yes;4;Arizona;601e85ea252f602e9591d487;Control;13;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:07;8/2/2021 9:20;IP Address;*******;100;771;TRUE;8/2/2021 9:20;R_2s0bcmDsbQhQd48;*******;*******;*******;*******;*******;*******;anonymous;EN;;I consent, begin the study.;601e78431258682eb716fc6e;Yes;United States;1990;Yes;Multiple times a week;Once a day;Convenience stores;;1% Low fat milk;;Gallon;;Never;Never;;;;;;;;;;;;;;;;;;2;2;3;2;1;4;2;5;3;A few times a month;Sometimes;Definitely yes;Slightly familiar;Somewhat agree;Strongly agree;Somewhat agree;Somewhat disagree;Somewhat disagree;Somewhat disagree;Strongly agree;Strongly agree;;;Somewhat agree;Strongly agree;Strongly agree;Somewhat agree;Somewhat agree;26-35;Male;White;;;;;;;;;Master's degree;$90,000 to $99,999;Married;Yes;3;Florida;601e78431258682eb716fc6e;Treatment;19;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:00;8/2/2021 9:20;IP Address;*******;100;1229;TRUE;8/2/2021 9:20;R_x3fanGsQQUKwABb;*******;*******;*******;*******;*******;*******;anonymous;EN;1;I consent, begin the study.;5ef74c949e879646313b24e9;Yes;United States;1966;No;Approximately once a week;Multiple times a day;Small/local grocery stores;;Skim;;Gallon;;Never;Never;;;;;;;;;;;;;;;;;;3;3;3;3;3;5;4;1;2;About once a month;About half the time;Probably yes;Not familiar at all;Neither agree nor disagree;Strongly agree;Neither agree nor disagree;Strongly disagree;Strongly agree;Somewhat agree;Neither agree nor disagree;Strongly disagree;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly disagree;Neither agree nor disagree;Somewhat disagree;Strongly disagree;46-55;Male;White;;;;;;;;;Bachelor's degree in college (4-year);$90,000 to $99,999;Married;Yes;3;Wisconsin;5ef74c949e879646313b24e9;Treatment;8;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:17;8/2/2021 9:23;IP Address;*******;100;360;TRUE;8/2/2021 9:23;R_T1ypgtFBWtG3gyd;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;5d77f95590745d000195a0b2;Yes;United States;1992;Yes;Approximately once a week;Once a day;Large supermarkets (Harps, Tops, Sprouts, etc.);;2% Reduced fat milk;;Half-gallon;;Never;Sometimes;;Almond milk;Oat milk;;;;;;;;;;;;;;;2;1;2;3;1;5;4;3;2;A few times a week;Sometimes;Probably not;Moderately familiar;Strongly agree;Somewhat agree;Somewhat agree;Somewhat disagree;Strongly agree;Somewhat disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat disagree;Strongly agree;Strongly agree;Strongly disagree;Somewhat agree;26-35;Female;White;;;;;;;;;Master's degree;$40,000 to $49,999;Never Married;No;2;Ohio;5d77f95590745d000195a0b2;Treatment;20;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:20;8/2/2021 9:23;IP Address;*******;100;182;TRUE;8/2/2021 9:23;R_8rkwBmNWHraizip;*******;*******;*******;*******;*******;*******;anonymous;EN;1;I consent, begin the study.;5a6a2687e6cc4a0001b689f0;Yes;United States;1994;Yes;Less frequently than every 14 days;Multiple times a week;Warehouse club stores (Costco, Sam's Club, BJ's, etc.);;Whole milk;;Half-gallon;;Never;Sometimes;;Almond milk;;;;;;;;;;;;;;;;1;2;2;3;1;4;5;2;3;Several times a day;About half the time;Definitely not;Not familiar at all;Strongly disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;26-35;Female;White;;;;;;;;;Bachelor's degree in college (4-year);$80,000 to $89,999;Never Married;No;2;Texas;5a6a2687e6cc4a0001b689f0;Control;23;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:17;8/2/2021 9:24;IP Address;*******;100;386;TRUE;8/2/2021 9:24;R_2XnA8yU19iKkDkI;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;5f64b0f21da5c4000a494ad2;Yes;United States;1997;No;Approximately once a week;Once a day;Warehouse club stores (Costco, Sam's Club, BJ's, etc.);;Whole milk;;Gallon;;Sometimes;Sometimes;;Almond milk;;;;;;Lactose intolerance;;;;;;;;;;1;1;3;2;2;5;4;1;3;A few times a week;Most of the time;Probably not;Slightly familiar;Strongly disagree;Neither agree nor disagree;Somewhat disagree;Strongly disagree;;Somewhat agree;Neither agree nor disagree;Somewhat agree;Strongly agree;;;Strongly agree;Strongly agree;Somewhat disagree;Neither agree nor disagree;25 or younger;Male;;;;;;;Hispanic/Latino;;;Bachelor's degree in college (4-year);$100,000 to $149,999;Never Married;No;4;Florida;5f64b0f21da5c4000a494ad2;Control;21;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:05;8/2/2021 9:24;IP Address;*******;100;1138;TRUE;8/2/2021 9:24;R_3Htuj1x0M1UKymF;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;601e7653b13fd82eb56ad1c7;Yes;United States;1989;Yes;Multiple times a week;Once a day;Small/local grocery stores;;1% Low fat milk;;Gallon;;Never;Never;;;;;;;;;;;;;;;;;;2;3;1;1;1;5;2;4;3;A few times a month;Always;Probably yes;Moderately familiar;Somewhat agree;Strongly agree;Strongly agree;Somewhat disagree;Somewhat agree;Somewhat disagree;Strongly agree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;26-35;Male;;;Black or African American;;;;;;;Doctoral degree;$90,000 to $99,999;Married;Yes;3;California;601e7653b13fd82eb56ad1c7;Treatment;22;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:19;8/2/2021 9:26;IP Address;*******;100;396;TRUE;8/2/2021 9:26;R_2xJYqNF3woi0cL5;*******;*******;*******;*******;*******;*******;anonymous;EN;1;I consent, begin the study.;5e98fb12e0296713a773cc4e;Yes;United States;1990;Yes;Approximately every 10 - 14 days;Multiple times a week;Small/local grocery stores;;1% Low fat milk;;Quart;;Sometimes;About half the time;Soymilk;Almond milk;Oat milk;;;;;Lactose intolerance;;;;;;Concerns over antibiotics, pesticides, or hormones;;;;1;1;1;3;1;3;5;2;4;A few times a week;Most of the time;Definitely not;Not familiar at all;Somewhat agree;Strongly agree;Neither agree nor disagree;Somewhat disagree;Strongly agree;Somewhat agree;Somewhat disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly disagree;Strongly disagree;26-35;Female;White;;;;;;;;;Bachelor's degree in college (4-year);$40,000 to $49,999;Never Married;No;2;New York;5e98fb12e0296713a773cc4e;Treatment;24;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:22;8/2/2021 9:26;IP Address;*******;100;256;TRUE;8/2/2021 9:26;R_338sedJJSuABNFk;*******;*******;*******;*******;*******;*******;anonymous;EN;0.90000000000000002220446049250313080847263336181640625;I consent, begin the study.;6020b225ca570a703a477a9e;Yes;United States;2001;No;Approximately every 10 - 14 days;Once a day;Large supermarkets (Harps, Tops, Sprouts, etc.);;2% Reduced fat milk;;Gallon;;Never;Never;;;;;;;;;;;;;;;;;;3;3;1;2;3;4;5;2;1;About once a month;Sometimes;Definitely yes;Slightly familiar;Neither agree nor disagree;Somewhat agree;Somewhat disagree;Strongly disagree;Strongly agree;Somewhat disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Somewhat agree;Strongly agree;Somewhat agree;Somewhat agree;25 or younger;Male;White;;;;;;;;;Some college but no degree;$50,000 to $59,999;Never Married;Yes;5;Iowa;6020b225ca570a703a477a9e;Control;26;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:22;8/2/2021 9:27;IP Address;*******;100;309;TRUE;8/2/2021 9:27;R_1plnMg5JEs8k8qc;*******;*******;*******;*******;*******;*******;anonymous;EN;1;I consent, begin the study.;5f8c70c9c8e71c0b49e49797;Yes;United States;1993;Yes;Approximately every 10 - 14 days;Multiple times a week;Small/local grocery stores;;Whole milk;;Half-gallon;;Never;Always;;Almond milk;Oat milk;;;;;;;;;;;;;;;2;1;1;4;4;1;5;3;2;A few times a week;Sometimes;Definitely not;Slightly familiar;Strongly agree;Strongly agree;Somewhat disagree;Somewhat disagree;Somewhat agree;Somewhat disagree;Somewhat agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly disagree;Neither agree nor disagree;26-35;Other;White;;;;;;;;;Master's degree;$70,000 to $79,999;Never Married;No;2;New York;5f8c70c9c8e71c0b49e49797;Treatment;29;851f5ef0-6712-11eb-a885-4dab507d5fac
8/2/2021 9:22;8/2/2021 9:29;IP Address;*******;100;383;TRUE;8/2/2021 9:29;R_3iyC168drjHVqpP;*******;*******;*******;*******;*******;*******;anonymous;EN;1;I consent, begin the study.;5eebe4e6e61002183aec9b70;Yes;United States;1997;Yes;Approximately every 10 - 14 days;Multiple times a week;Large/national big-box stores (Walmart, Target, K-Mart, etc.);;2% Reduced fat milk;;Gallon;;Never;Sometimes;;Almond milk;;;;;;;;;;;;;;;;2;2;3;4;3;5;4;2;1;A few times a month;Sometimes;Probably not;Moderately familiar;Somewhat disagree;Strongly agree;Strongly disagree;Somewhat disagree;Somewhat agree;Strongly disagree;Neither agree nor disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly disagree;Strongly disagree;25 or younger;Male;White;;;;;;;;;Some college but no degree;$20,000 to $29,999;Never Married;No;4;Ohio;5eebe4e6e61002183aec9b70;Treatment;27;851f5ef0-6712-11eb-a885-4dab507d5fac
